lat,lon,reviews
40.76831,-73.92352,3
40.79497173980575,-73.97383419264895,91
40.8361,-73.94562,1
40.69436,-73.97014,1
40.69908,-73.95317,61
40.75493,-73.8236,31
40.68167,-73.93801,2
40.64075,-73.96377,68
40.67595,-73.95121,88
40.68169,-73.9769,283
40.71404,-73.96077,82
40.7244,-73.9802,103
40.76221,-73.97787,30
40.69149,-73.93662,407
40.68928,-73.99544,12
40.709278,-73.954689,628
40.72305,-73.98641,11
40.6582,-73.95088,19
40.74836,-73.89686,98
40.79865,-73.97135,16
40.67662,-73.95913,76
40.68382,-73.9548,7
40.73277,-74.00267,438
40.71562,-73.98401,75
40.71254,-73.96277,8
40.68139,-73.91538,94
40.68175,-73.91372,81
40.60066,-74.08902,65
40.66044,-73.99279,33
40.725518651085686,-73.98048563867302,140
40.7288,-73.98731,91
40.60194,-74.09024,29
40.60035,-74.09103,34
40.68176,-73.99473,113
40.68375,-73.96142,581
40.7484,-73.89892,77
40.74874,-73.89746,76
40.71116,-73.94989,50
40.82301,-73.91396,7
40.71774,-73.982,1
40.72623,-73.98226,17
40.82293,-73.94954,217
40.74793,-73.98017,7
40.72222,-73.99472,45
40.74222,-74.00381,8
40.79828,-73.95249,23
40.72822,-73.98775,3
40.77149,-73.98071,64
40.73368,-73.99182,20
40.65901,-73.97606,17
40.68343,-73.9603,3
40.7449021,-73.98369610000002,90
40.72585,-73.98542,99
40.73756,-73.9535,135
40.73756,-73.9535,191
40.7384,-74.0034,42
40.71803,-73.96211,6
40.79525,-73.96385,199
40.67623,-73.97789,26
40.68471,-73.94073,94
40.66255,-73.96284,84
40.65989,-73.97813,13
40.86639,-73.92685,89
40.77559,-73.9072,12
40.70294,-73.92652,11
40.70956,-73.95668,32
40.70612,-73.92923,3
40.7072505,-73.9399195,142
40.73298,-73.98694,48
40.66559,-73.93348,10
40.83693,-73.93692,50
40.7764,-73.98371,9
40.78365,-73.8381,65
40.69135263700129,-73.95725161773552,305
40.66241,-73.99197,80
40.71731,-73.95272,11
40.73172,-73.98985,96
40.67454,-73.96575,17
40.70519,-73.9253,22
40.83485,-73.94943,1
40.70281,-73.94328,15
40.8055,-73.94696,8
40.67004,-73.97934,113
40.67441,-73.97295,38
40.76963,-73.95034,65
40.85551,-73.93459,31
40.67265,-73.94803,83
40.82106,-73.95605,104
40.82031481940737,-73.95404833355482,86
40.79016,-73.95092,151
40.82097,-73.95412,66
40.82260993096161,-73.95532699832403,68
40.7207,-73.98713,58
40.71682,-73.99222,16
40.77832,-73.98442,1
40.63145,-73.95882,288
40.6891,-73.95398,2
40.78711,-73.97226,110
40.82771,-73.94468,14
40.71738,-73.99231,97
40.66077,-73.9569,113
40.67542,-73.94685,71
40.71189,-73.96484,38
40.71586,-73.9453,275
40.68593,-73.93254,36
40.72021,-73.94786,1
40.7203,-73.93965,11
40.69511,-73.98408,39
40.70875,-73.91654,140
40.7826,-73.97451,9
40.71569,-73.94106,1
40.74322,-73.98362,148
40.8524,-73.78768,114
40.71737,-73.94131,5
40.68769,-73.91286,54
40.72959300603329,-73.99946608183235,36
40.71204,-73.96459,38
40.67506,-73.95866,93
40.66822,-73.99365,259
40.70943,-73.92446,13
40.79455,-73.97188,231
40.76749,-73.98216,33
40.67562,-73.98259,16
40.71301,-73.94752,33
40.69315,-73.99435,47
40.76514,-73.88991,203
40.69063,-73.92466,43
40.6947,-73.99525,13
40.75725,-73.91811,316
40.68921,-73.97261,18
40.71196,-73.99382,67
40.84903,-73.93144,4
40.73336,-73.95815,12
40.67781,-73.96298,1
40.70727,-73.94026,7
40.8263,-73.95006,2
40.66097,-73.96184,4
40.67103,-73.95649,213
40.64541,-73.97307,242
40.814278,-73.960243,19
40.71145,-73.95046,4
40.68734,-73.97401,1
40.80558,-73.94497,211
40.63685,-74.03614,43
40.80825,-73.94124,416
40.68759,-73.99754,11
40.8066,-73.94861,28
40.74936,-73.97196,3
40.65517,-73.96083,121
40.71169,-73.94348,1
40.80196,-73.96349,82
40.75087,-73.80999,343
40.6799,-73.96535,78
40.68367,-73.9671,9
40.72913,-74.00234,8
40.72602081298828,-73.98068237304688,34
40.78605,-73.97092,58
40.72005,-73.99645,17
40.78566,-73.97271,16
40.78687,-73.9746,29
40.78741,-73.97321,31
40.69235,-73.96938,117
40.66677,-73.98755,2
40.68533,-73.95925,49
40.73976,-73.99512,62
40.70352,-73.94342,117
40.6751,-73.9785,174
40.7458,-73.99857,271
40.69047,-73.94258,29
40.68838398698687,-73.93455910435819,204
40.68767,-73.96468,68
40.7013,-73.98192,21
40.68746,-73.91945,103
40.68272,-73.99204,76
40.76472,-73.9264,82
40.67512,-73.97943,8
40.76649,-73.91075,176
40.68957,-73.96831,10
40.82144,-73.95481,210
40.8769982,-73.88626049999999,4
40.7456,-73.948,13
40.82102,-73.92702,85
40.70268,-73.98768,35
40.81213,-73.9538,40
40.7074,-73.94605,143
40.81061,-73.94505,94
40.67652,-73.95174,20
40.64849853515625,-74.0079345703125,57
40.73118,-74.00316,68
40.70269,-73.9873,16
40.73024,-73.98147,714
40.65302,-73.96299,4
40.72154,-73.98174,57
40.695,-73.91197,88
40.76359,-73.891,59
40.75608,-73.91768,91
40.72424,-73.93964,8
40.68089,-73.93557,64
40.74460983276367,-73.99671936035156,179
40.75533122045313,-73.81783313404458,452
